frame_index,id_13_team_0,id_10_team_0,id_2_team_0,id_4_team_0,id_16_team_0,id_281_team_0,id_5_team_0,id_1_team_0,id_45_team_0,id_20_team_0,id_17_team_0,id_22_team_1,id_14_team_1,id_11_team_1,id_3_team_1,id_9_team_1,id_6_team_1,id_12_team_1,id_8_team_1,id_15_team_1,id_7_team_1,id_18_team_1,ball
450,"7017.3,4340.19","7081.29,2921.37","7004.01,5803.26","5967.0,5390.94","5791.76,4608.21","10394.32,3874.07","7152.22,5667.16","5875.29,6298.42","6997.84,2239.97","4834.19,3503.81","3855.37,5750.82","3095.36,5074.97","4337.31,1689.47","4636.9,4993.71","4348.2,6636.21","6762.06,2230.93","5864.23,5199.37","7498.61,5701.34","6822.65,6767.63","7198.62,922.13","7657.55,5529.7","7150.4,3065.2","3237.47,5137.28"
451,"6979.09,4349.73","7039.36,2892.72","6966.58,5829.4","5911.27,5399.67","5729.55,4611.66","10394.32,3874.07","7116.45,5682.02","5805.22,6304.6","6956.13,2241.96","4807.15,3494.41","3816.44,5712.92","3119.79,5041.11","4318.76,1673.03","4614.01,5005.4","4331.4,6664.88","6733.55,2196.9","5824.27,5223.81","7435.12,5686.27","6806.69,6767.24","7136.37,929.98","7598.5,5539.6","7096.71,3066.97","3260.86,5112.97"
452,"6938.01,4370.55","7001.37,2892.53","6935.09,5877.95","5864.08,5406.08","5692.64,4672.53","10394.32,3874.07","7078.24,5679.43","5733.35,6305.34","6922.73,2253.33","4773.11,3453.13","3760.15,5634.23","3155.25,4979.54","4292.32,1732.94","4591.36,5000.12","4296.39,6657.75","6761.64,2212.42","5795.94,5159.31","7395.76,5661.04","6784.4,6766.97","7089.54,950.82","7561.15,5527.26","7045.98,3088.73","3274.86,5071.64"
453,"6905.18,4363.61","6963.38,2892.34","6910.31,5906.87","5799.89,5375.05","5655.66,4666.68","10394.32,3874.07","7026.08,5672.71","5661.49,6306.07","6870.28,2248.4","4751.51,3432.59","3727.38,5571.94","3212.1,4962.47","4283.95,1743.93","4568.69,5002.29","4273.02,6647.91","6789.73,2227.94","5778.91,5129.07","7335.99,5608.11","6743.51,6763.22","7063.62,932.58","7490.42,5506.1","6974.94,3100.02","3465.62,5037.14"
454,"6872.34,4356.67","6925.39,2892.15","6885.52,5935.8","5768.87,5364.81","5618.69,4660.82","10394.32,3874.07","6974.25,5619.4","5589.62,6306.81","6817.82,2243.46","4744.47,3430.63","3698.98,5437.89","3247.42,4952.06","4275.58,1754.93","4546.02,5004.46","4272.93,6599.78","6817.82,2243.46","5761.88,5098.83","7276.22,5555.18","6731.16,6683.37","7037.7,914.34","7419.68,5484.93","6898.36,3097.53","3716.14,5060.49"
455,"6839.51,4349.73","6887.4,2891.96","6860.74,5964.72","5737.86,5354.56","5581.71,4654.97","10394.32,3874.07","6955.63,5618.47","5517.75,6307.55","6797.25,2231.57","4737.43,3428.68","3698.66,5413.65","3245.8,4903.78","4267.2,1765.92","4523.35,5006.63","4256.46,6598.98","6784.34,2226.24","5744.84,5068.6","7216.45,5502.25","6713.97,6708.19","7011.78,896.11","7373.59,5495.11","6865.08,3081.23","3895.87,5058.97"
456,"6806.68,4342.78","6849.4,2891.77","6835.96,5993.64","5706.84,5344.32","5544.73,4649.12","10394.32,3874.07","6937.01,5617.54","5445.89,6308.29","6776.68,2219.68","4730.4,3426.72","3714.11,5321.54","3244.17,4855.51","4258.83,1776.92","4500.67,5008.8","4240.98,6573.06","6750.86,2209.02","5727.81,5038.36","7180.61,5451.88","6696.78,6733.02","6985.85,877.87","7327.5,5505.29","6831.8,3064.93","4078.0,5092.11"
457,"6773.85,4335.84","6811.41,2891.59","6811.18,6022.57","5675.82,5334.08","5507.76,4643.26","10394.32,3874.07","6918.39,5616.62","5374.02,6309.02","6756.11,2207.79","4723.36,3424.76","3799.23,5312.39","3210.54,4805.0","4250.46,1787.91","4478.0,5010.97","4200.34,6589.71","6717.38,2191.8","5710.78,5008.12","7140.92,5453.39","6679.59,6757.84","6959.93,859.63","7284.59,5532.67","6813.16,3096.8","4206.77,5105.75"
458,"6741.02,4328.9","6773.42,2891.4","6786.4,6051.49","5644.81,5323.83","5470.78,4637.41","10394.32,3874.07","6899.77,5615.69","5302.15,6309.76","6735.54,2195.91","4716.32,3422.81","3884.35,5303.24","3204.43,4779.97","4242.09,1798.91","4455.33,5013.14","4196.03,6596.58","6683.9,2174.58","5683.73,4987.38","7101.24,5454.9","6647.83,6753.94","6934.01,841.39","7241.68,5560.05","6775.38,3085.26","4348.27,5136.31"
459,"6708.18,4321.96","6735.43,2891.21","6761.61,6080.42","5613.79,5313.59","5455.13,4557.2","10394.32,3874.07","6844.64,5514.14","5230.29,6310.5","6714.97,2184.02","4709.28,3420.85","3969.47,5294.08","3170.36,4705.61","4233.71,1809.9","4432.66,5015.31","4153.39,6512.49","6650.43,2157.35","5656.69,4966.63","7072.83,5430.72","6616.06,6750.03","6908.09,823.15","7167.48,5601.82","6692.66,3116.98","4424.54,5163.27"
